model,task,seed,step,eval_score
BL,cartpole swingup,42,1000,28.7
BL,cartpole swingup,42,2000,61.3
BL,cartpole swingup,42,3000,136.9
BL,cartpole swingup,42,4000,156.9
BL,cartpole swingup,42,5000,136.0
BL,cartpole swingup,42,6000,122.7
BL,cartpole swingup,42,7000,105.5
BL,cartpole swingup,42,8000,140.5
BL,cartpole swingup,42,9000,99.8
BL,cartpole swingup,42,10000,82.1
BL,cartpole swingup,42,11000,77.0
BL,cartpole swingup,42,12000,75.9
BL,cartpole swingup,42,13000,75.1
BL,cartpole swingup,42,14000,96.7
BL,cartpole swingup,42,15000,77.1
BL,cartpole swingup,42,16000,77.6
BL,cartpole swingup,42,17000,134.0
BL,cartpole swingup,42,18000,159.9
BL,cartpole swingup,42,19000,153.3
BL,cartpole swingup,42,20000,216.8
BL,cartpole swingup,42,21000,168.5
BL,cartpole swingup,42,22000,158.4
BL,cartpole swingup,42,23000,164.6
BL,cartpole swingup,42,24000,236.9
BL,cartpole swingup,42,25000,214.8
BL,cartpole swingup,42,26000,193.1
BL,cartpole swingup,42,27000,164.8
BL,cartpole swingup,42,28000,214.6
BL,cartpole swingup,42,29000,241.6
BL,cartpole swingup,42,30000,241.4
BL,cartpole swingup,42,31000,241.0
BL,cartpole swingup,42,32000,248.9
BL,cartpole swingup,42,33000,292.2
BL,cartpole swingup,42,34000,304.3
BL,cartpole swingup,42,35000,287.3
BL,cartpole swingup,42,36000,260.2
BL,cartpole swingup,42,37000,243.6
BL,cartpole swingup,42,38000,253.5
BL,cartpole swingup,42,39000,267.8
BL,cartpole swingup,42,40000,245.8
BL,cartpole swingup,42,41000,299.9
BL,cartpole swingup,42,42000,258.9
BL,cartpole swingup,42,43000,307.8
BL,cartpole swingup,42,44000,358.5
BL,cartpole swingup,42,45000,384.4
BL,cartpole swingup,42,46000,330.8
BL,cartpole swingup,42,47000,330.0
BL,cartpole swingup,42,48000,340.0
BL,cartpole swingup,42,49000,375.0
TT,cartpole swingup,42,1000,30.3
TT,cartpole swingup,42,2000,82.6
TT,cartpole swingup,42,3000,169.5
TT,cartpole swingup,42,4000,103.6
TT,cartpole swingup,42,5000,167.0
TT,cartpole swingup,42,6000,177.3
TT,cartpole swingup,42,7000,200.6
TT,cartpole swingup,42,8000,172.0
TT,cartpole swingup,42,9000,123.8
TT,cartpole swingup,42,10000,177.3
TT,cartpole swingup,42,11000,182.9
TT,cartpole swingup,42,12000,191.3
TT,cartpole swingup,42,13000,224.1
TT,cartpole swingup,42,14000,188.3
TT,cartpole swingup,42,15000,207.1
TT,cartpole swingup,42,16000,239.3
TT,cartpole swingup,42,17000,177.2
TT,cartpole swingup,42,18000,225.2
TT,cartpole swingup,42,19000,240.0
TT,cartpole swingup,42,20000,186.8
TT,cartpole swingup,42,21000,200.5
TT,cartpole swingup,42,22000,204.7
TT,cartpole swingup,42,23000,224.0
TT,cartpole swingup,42,24000,210.8
TT,cartpole swingup,42,25000,236.7
TT,cartpole swingup,42,26000,224.2
TT,cartpole swingup,42,27000,239.9
TT,cartpole swingup,42,28000,235.7
TT,cartpole swingup,42,29000,244.2
TT,cartpole swingup,42,30000,332.1
TT,cartpole swingup,42,31000,340.4
TT,cartpole swingup,42,32000,362.8
TT,cartpole swingup,42,33000,480.9
TT,cartpole swingup,42,34000,352.0
TT,cartpole swingup,42,35000,350.2
TT,cartpole swingup,42,36000,367.8
TT,cartpole swingup,42,37000,439.1
TT,cartpole swingup,42,38000,455.2
TT,cartpole swingup,42,39000,456.5
TT,cartpole swingup,42,40000,446.5
TT,cartpole swingup,42,41000,405.5
TT,cartpole swingup,42,42000,416.3
TT,cartpole swingup,42,43000,445.9
TT,cartpole swingup,42,44000,432.2
TT,cartpole swingup,42,45000,437.3
TT,cartpole swingup,42,46000,458.4
TT,cartpole swingup,42,47000,470.9
TT,cartpole swingup,42,48000,476.4
TT,cartpole swingup,42,49000,465.6
BL,cartpole swingup,123,1000,80.1
BL,cartpole swingup,123,2000,16.3
BL,cartpole swingup,123,3000,95.7
BL,cartpole swingup,123,4000,48.8
BL,cartpole swingup,123,5000,172.4
BL,cartpole swingup,123,6000,180.6
BL,cartpole swingup,123,7000,155.4
BL,cartpole swingup,123,8000,176.6
BL,cartpole swingup,123,9000,229.9
BL,cartpole swingup,123,10000,205.1
BL,cartpole swingup,123,11000,195.1
BL,cartpole swingup,123,12000,193.9
BL,cartpole swingup,123,13000,182.7
BL,cartpole swingup,123,14000,232.3
BL,cartpole swingup,123,15000,214.6
BL,cartpole swingup,123,16000,226.4
BL,cartpole swingup,123,17000,224.3
BL,cartpole swingup,123,18000,254.5
BL,cartpole swingup,123,19000,228.0
BL,cartpole swingup,123,20000,272.6
BL,cartpole swingup,123,21000,334.0
BL,cartpole swingup,123,22000,251.6
BL,cartpole swingup,123,23000,257.8
BL,cartpole swingup,123,24000,297.8
BL,cartpole swingup,123,25000,260.8
BL,cartpole swingup,123,26000,262.6
BL,cartpole swingup,123,27000,371.4
BL,cartpole swingup,123,28000,330.0
BL,cartpole swingup,123,29000,264.4
BL,cartpole swingup,123,30000,323.3
BL,cartpole swingup,123,31000,406.8
BL,cartpole swingup,123,32000,430.0
BL,cartpole swingup,123,33000,326.0
BL,cartpole swingup,123,34000,436.8
BL,cartpole swingup,123,35000,381.9
BL,cartpole swingup,123,36000,391.6
BL,cartpole swingup,123,37000,534.7
BL,cartpole swingup,123,38000,536.3
BL,cartpole swingup,123,39000,538.1
BL,cartpole swingup,123,40000,396.7
BL,cartpole swingup,123,41000,454.9
BL,cartpole swingup,123,42000,463.2
BL,cartpole swingup,123,43000,465.9
BL,cartpole swingup,123,44000,470.3
BL,cartpole swingup,123,45000,671.1
BL,cartpole swingup,123,46000,570.3
BL,cartpole swingup,123,47000,478.0
BL,cartpole swingup,123,48000,465.1
BL,cartpole swingup,123,49000,408.7
BL,cartpole swingup,123,50000,570.0
BL,cartpole swingup,123,51000,527.7
BL,cartpole swingup,123,52000,542.9
BL,cartpole swingup,123,53000,542.7
BL,cartpole swingup,123,54000,483.0
BL,cartpole swingup,123,55000,479.4
BL,cartpole swingup,123,56000,460.6
BL,cartpole swingup,123,57000,455.8
BL,cartpole swingup,123,58000,539.3
BL,cartpole swingup,123,59000,459.4
BL,cartpole swingup,123,60000,465.2
BL,cartpole swingup,123,61000,528.7
BL,cartpole swingup,123,62000,548.4
BL,cartpole swingup,123,63000,534.3
BL,cartpole swingup,123,64000,729.1
BL,cartpole swingup,123,65000,563.8
BL,cartpole swingup,123,66000,600.6
BL,cartpole swingup,123,67000,535.5
BL,cartpole swingup,123,68000,607.5
BL,cartpole swingup,123,69000,675.7
BL,cartpole swingup,123,70000,762.2
BL,cartpole swingup,123,71000,698.0
BL,cartpole swingup,123,72000,698.8
BL,cartpole swingup,123,73000,743.3
BL,cartpole swingup,123,74000,726.5
BL,cartpole swingup,123,75000,747.2
BL,cartpole swingup,123,76000,659.1
BL,cartpole swingup,123,77000,805.8
BL,cartpole swingup,123,78000,747.6
BL,cartpole swingup,123,79000,730.2
BL,cartpole swingup,123,80000,690.6
BL,cartpole swingup,123,81000,829.9
BL,cartpole swingup,123,82000,838.2
BL,cartpole swingup,123,83000,840.5
BL,cartpole swingup,123,84000,836.8
BL,cartpole swingup,123,85000,837.6
BL,cartpole swingup,123,86000,843.1
BL,cartpole swingup,123,87000,835.3
BL,cartpole swingup,123,88000,826.7
BL,cartpole swingup,123,89000,840.8
BL,cartpole swingup,123,90000,834.4
BL,cartpole swingup,123,91000,832.7
BL,cartpole swingup,123,92000,845.5
BL,cartpole swingup,123,93000,843.0
BL,cartpole swingup,123,94000,842.8
BL,cartpole swingup,123,95000,832.5
BL,cartpole swingup,123,96000,840.8
BL,cartpole swingup,123,97000,832.2
BL,cartpole swingup,123,98000,826.8
BL,cartpole swingup,123,99000,748.9
TT,cartpole swingup,123,4000,22.1
TT,cartpole swingup,123,4001,48.6
TT,cartpole swingup,123,4002,18.3
TT,cartpole swingup,123,4003,16.6
TT,cartpole swingup,123,8000,161.0
