task,seed,step,gate_value
cartpole swingup,42,5132,0.500
cartpole swingup,42,10132,0.400
cartpole swingup,42,15132,0.400
cartpole swingup,42,20132,0.400
cartpole swingup,42,25132,0.400
cartpole swingup,42,30132,0.300
cartpole swingup,42,35132,0.300
cartpole swingup,42,40132,0.300
cartpole swingup,42,45132,0.300
cartpole swingup,123,5132,0.500
cartpole swingup,123,5528,0.500
cartpole swingup,123,10132,0.400
cartpole swingup,123,10528,0.500
cartpole swingup,123,15132,0.400
cartpole swingup,123,15528,0.500
cartpole swingup,123,20132,0.400
cartpole swingup,123,20528,0.400
cartpole swingup,123,25132,0.400
cartpole swingup,123,25528,0.400
cartpole swingup,123,30528,0.400
cartpole swingup,123,35528,0.400
cartpole swingup,123,40528,0.400
cartpole swingup,123,45528,0.300
cartpole swingup,123,50528,0.300
cartpole swingup,123,55528,0.300
cartpole swingup,123,60528,0.300
cartpole swingup,123,65528,0.300
cartpole swingup,123,70528,0.300
cartpole swingup,123,75528,0.300
cartpole swingup,123,80528,0.300
cartpole swingup,123,85528,0.300
cartpole swingup,123,90528,0.300
cartpole swingup,123,95528,0.300
cartpole swingup,456,5132,0.500
cartpole swingup,456,10132,0.400
cartpole swingup,456,15132,0.400
cartpole swingup,456,20132,0.400
cartpole swingup,456,25132,0.400
cartpole swingup,456,30132,0.400
cartpole swingup,456,35132,0.300
cartpole swingup,456,40132,0.300
cartpole swingup,456,45132,0.300
cartpole swingup,456,50132,0.300
cartpole swingup,456,55132,0.300
cartpole swingup,456,60132,0.300
cartpole swingup,456,65132,0.300
cartpole swingup,456,70132,0.300
cartpole swingup,456,75132,0.300
cartpole swingup,456,80132,0.300
cartpole swingup,456,85132,0.300
cartpole swingup,456,90132,0.300
cartpole swingup,456,95132,0.300
cheetah run,42,5132,0.500
cheetah run,42,10132,0.400
cheetah run,42,15132,0.400
cheetah run,42,20132,0.400
cheetah run,42,25132,0.400
cheetah run,42,30132,0.400
cheetah run,42,35132,0.400
cheetah run,42,40132,0.400
cheetah run,42,45132,0.400
cheetah run,42,50132,0.400
cheetah run,42,55132,0.400
cheetah run,42,60132,0.400
cheetah run,42,65132,0.400
cheetah run,42,70132,0.400
cheetah run,42,75132,0.300
cheetah run,42,80132,0.400
cheetah run,42,85132,0.400
cheetah run,42,90132,0.400
cheetah run,42,95132,0.400
cheetah run,123,5132,0.500
cheetah run,123,10132,0.500
cheetah run,123,15132,0.500
cheetah run,123,20132,0.400
cheetah run,123,25132,0.400
cheetah run,123,30132,0.400
cheetah run,123,35132,0.400
cheetah run,123,40132,0.400
cheetah run,123,45132,0.400
cheetah run,123,50132,0.400
cheetah run,123,55132,0.400
cheetah run,123,60132,0.400
cheetah run,123,65132,0.400
cheetah run,123,70132,0.400
cheetah run,123,75132,0.400
cheetah run,123,80132,0.400
cheetah run,123,85132,0.400
cheetah run,123,90132,0.400
cheetah run,123,95132,0.400
cheetah run,456,5132,0.500
cheetah run,456,10132,0.400
cheetah run,456,15132,0.400
cheetah run,456,20132,0.400
cheetah run,456,25132,0.400
cheetah run,456,30132,0.400
cheetah run,456,35132,0.400
cheetah run,456,40132,0.400
cheetah run,456,45132,0.400
cheetah run,456,50132,0.400
cheetah run,456,55132,0.400
cheetah run,456,60132,0.400
cheetah run,456,65132,0.400
cheetah run,456,70132,0.400
cheetah run,456,75132,0.400
cheetah run,456,80132,0.400
cheetah run,456,85132,0.400
cheetah run,456,90132,0.400
cheetah run,456,95132,0.400
walker walk,42,5132,0.500
walker walk,42,5132,0.500
walker walk,42,5132,0.500
walker walk,42,10132,0.500
walker walk,42,10132,0.500
walker walk,42,10132,0.500
walker walk,42,15132,0.500
walker walk,42,15132,0.400
walker walk,42,15132,0.400
walker walk,42,20132,0.500
walker walk,42,20132,0.500
walker walk,42,20132,0.400
walker walk,42,25132,0.400
walker walk,42,25132,0.500
walker walk,42,25132,0.400
walker walk,42,30132,0.400
walker walk,42,30132,0.500
walker walk,42,30132,0.400
walker walk,42,35132,0.400
walker walk,42,35132,0.500
walker walk,42,35132,0.400
walker walk,42,40132,0.400
walker walk,42,40132,0.500
walker walk,42,40132,0.400
walker walk,42,45132,0.400
walker walk,42,45132,0.400
walker walk,42,45132,0.400
walker walk,42,50132,0.400
walker walk,42,50132,0.500
walker walk,42,50132,0.400
walker walk,42,55132,0.400
walker walk,42,55132,0.500
walker walk,42,55132,0.300
walker walk,42,60132,0.400
walker walk,42,60132,0.500
walker walk,42,60132,0.300
walker walk,42,65132,0.400
walker walk,42,65132,0.500
walker walk,42,65132,0.400
walker walk,42,70132,0.400
walker walk,42,70132,0.500
walker walk,42,70132,0.400
walker walk,42,75132,0.400
walker walk,42,75132,0.500
walker walk,42,75132,0.400
walker walk,42,80132,0.400
walker walk,42,80132,0.500
walker walk,42,80132,0.400
walker walk,42,85132,0.400
walker walk,42,85132,0.500
walker walk,42,85132,0.400
walker walk,42,90132,0.400
walker walk,42,90132,0.500
walker walk,42,90132,0.400
walker walk,42,95132,0.400
walker walk,42,95132,0.500
walker walk,42,95132,0.300
walker walk,42,100132,0.400
walker walk,42,105132,0.300
walker walk,42,110132,0.400
walker walk,42,115132,0.300
walker walk,42,120132,0.400
walker walk,42,125132,0.400
walker walk,42,130132,0.300
walker walk,42,135132,0.300
walker walk,42,140132,0.400
walker walk,42,145132,0.400
walker walk,42,150132,0.400
walker walk,42,155132,0.300
walker walk,42,160132,0.400
walker walk,42,165132,0.300
walker walk,42,170132,0.400
walker walk,42,175132,0.300
walker walk,42,180132,0.400
walker walk,42,185132,0.400
walker walk,42,190132,0.400
walker walk,42,195132,0.400
walker walk,42,200132,0.400
walker walk,42,205132,0.400
walker walk,42,210132,0.400
walker walk,42,215132,0.400
walker walk,42,220132,0.400
walker walk,42,225132,0.400
walker walk,42,230132,0.400
walker walk,42,235132,0.400
walker walk,42,240132,0.400
walker walk,42,245132,0.400
walker walk,42,250132,0.400
walker walk,42,255132,0.400
walker walk,42,260132,0.400
walker walk,42,265132,0.400
walker walk,42,270132,0.400
walker walk,42,275132,0.400
walker walk,42,280132,0.400
walker walk,42,285132,0.400
walker walk,42,290132,0.400
walker walk,42,295132,0.400
walker walk,42,300132,0.400
walker walk,42,305132,0.400
walker walk,123,5132,0.500
walker walk,123,5132,0.500
walker walk,123,5132,0.500
walker walk,123,5132,0.500
walker walk,123,10132,0.500
walker walk,123,10132,0.500
walker walk,123,10132,0.500
walker walk,123,10132,0.500
walker walk,123,15132,0.500
walker walk,123,15132,0.500
walker walk,123,15132,0.400
walker walk,123,15132,0.500
walker walk,123,20132,0.400
walker walk,123,20132,0.400
walker walk,123,20132,0.400
walker walk,123,20132,0.500
walker walk,123,25132,0.500
walker walk,123,25132,0.500
walker walk,123,25132,0.400
walker walk,123,25132,0.500
walker walk,123,30132,0.400
walker walk,123,30132,0.500
walker walk,123,30132,0.400
walker walk,123,30132,0.500
walker walk,123,35132,0.400
walker walk,123,35132,0.500
walker walk,123,35132,0.300
walker walk,123,35132,0.500
walker walk,123,40132,0.400
walker walk,123,40132,0.400
walker walk,123,40132,0.300
walker walk,123,40132,0.500
walker walk,123,45132,0.400
walker walk,123,45132,0.400
walker walk,123,45132,0.300
